precursor_name,cnt,smiles
suberic acid,10,C(CCCC(=O)O)CCC(=O)O
"pyridine3,5-dicarboxylic acid",9,C1=C(C=NC=C1C(=O)O)C(=O)O 
H2Fum,9,C(=C/C(=O)O)\C(=O)O
2-aminopyrimidine,9,C(C(=O)O)NCC(=O)O
5-Aminoisophthlic acid,9,C1=C(C=C(C=C1C(=O)O)N)C(=O)O
CH 3 COOH,9,CC(=O)O
disodium terephthalate,9,C1=CC(=CC=C1C(=O)[O-])C(=O)[O-].[Na+].[Na+]
"3,5-dinitrosalicylic acid",9,C1=C(C=C(C(=C1C(=O)O)O)[N+](=O)[O-])[N+](=O)[O-]
BDC,9,C1=CC(=CC=C1C(=O)O)C(=O)O
4-aminopyridine,9,C1=CN=CC=C1N
picolinic acid,9,C1=CC=NC(=C1)C(=O)O
oPhenanthroline,8,C1=CC2=C(C3=C(C=CC=N3)C=C2)N=C1.O
sodium hydrogen 3sulfobenzoate,8,
BIP,8,
